Title,City,Company,Type,Date Posted,Experience Needed,Career Level,Education Level,Salary,Description,,,,,,,,,
IT Sales Manager (integrated solutions),Cairo,Injaz Tech for advanced systems,Full Time,Posted 5 hours ago,4 to 6 years,Manager,Not Specified,Confidential commission,#NAME?,,,,,,,,,
UI UX Designer,Cairo,DX Republic,Full Time,Posted 5 hours ago,2 to 5 years,Experienced (Non-Manager),Not Specified,Confidential,Gather and evaluate user requirements in collaboration with product managers and engineers.Illustrate design ideas using storyboards process flows and sitemaps.Design graphic user interface elements like menus tabs and widgetsBuild page navigation buttons and search fields.Develop UI mockups and prototypes that clearly illustrate how sites function and look likeCreate original graphic designs (e.g. images sketches and tables)Prepare and present rough drafts to internal teams and key stakeholders.Identify and troubleshoot UX problems (e.g. responsiveness)Conduct layout adjustments based on user feedback.Adhere to style standards on fonts colors and images.,,,,,,,,,
Senior Flutter Developer,Cairo,DEVOPSOLUTION,Full Time,Posted 6 hours ago,More than 4 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Our candidate will be Responsible For:Design Build and develop sophisticated and highly scalable mobile apps using Flutter.Build custom packages in Flutter using the functionalities and APIs already available in native Android and IOS.Take ownership of the preparation production and timely release of the applications.Ensure the performance quality and responsiveness of applications.Continuously discover evaluate and implement new technologies to maximize development efficiency.Work with outside data sources and APIs.Follow the best practices while developing the app and also keeping everything structured and well documented.Run functionality testing and debug code.Our Benefits: Medical Insurance.Social Insurance.Training Plan.,,,,,,,,,
Software Quality Assurance Engineer (Process Improvement),Cairo,BI-Technologies,Full Time,Posted 6 hours ago,2 to 3 years,Experienced (Non-Manager),Bachelor's Degree,Confidential Transportation Medical Insurance  Social Insurance  and Retirement Plan,Develops and implements quality assurance problem reporting processes and systems. Design and deploy processes and procedures. For organization departments including (Development Quality Control PS and CS). Establish software metrics in order to measure the effectiveness of this process. Collect the metrics for monitoring and continuous improvement. Audit to get sure that processes and procedures followed as designed per each department. Reports progress reports to QA Manager on regular basis Maintain a keen understanding of SQA trends according to CMMI developments and best practices.,,,,,,,,,
Integration Engineer,Cairo,Obeikan Digital Solutions,Full Time,Posted 6 hours ago,5 to 14 years,Manager,Not Specified,Confidential Annually Bonus,Assist in end-to-end implementation of the integration work stream from the requirement gathering and data mapping to production delivery.Assist in defining the integration and dataflow architecture and evaluate vendors’ web services and API capabilities.Identify gaps in available integration services and work on remediation strategies to ensure stability as the underlying platform technologies continue to evolve.Contribute to the development of ODS external-facing API layer for business partner integration; e.g. mobile apps third-party applications and services.Help assess future API management tools examining capabilities against requirements and performing validation activities as required.Cooperate with the support teams to resolve production incidents and proactively seek opportunities to develop preventative measures to avoid recurrence.Ensure technical standards and architectural best practices are maintained and optimize system integration performance.Comparing integration approaches and assessing their relative strengths and limitations in terms of meeting business goals.Developing integrations in several technologies and languages such as .net  node js Java Oracle SQL XML JSON WebLogic network basics as well as scripting in Linux.,,,,,,,,,
Senior Software Quality Engineer,Cairo,Easy Cash,Full Time,Posted 7 hours ago,5 to 8 years,Experienced (Non-Manager),Not Specified,Confidential,Key responsibility :Requirements Evaluation: Diligently review requirements specifications and technical design documents. Provide timely and constructive feedback to enhance software quality.Test Planning: Craft comprehensive well-structured test plans that encompass every facet of our products. Develop clear and detailed test cases to facilitate thorough testing.Test Coordination: Efficiently estimate prioritize plan and coordinate testing activities ensuring alignment with project deadlines.Types of Testing: Perform diverse testing methodologies including:Functional Testing: Validate that the software functions as anticipated.Smoke Testing : quick test to check if essential functions of a software build are working. It's done to ensure the software is stable before more detailed testing.Integration Testing: Verify the seamless interaction between different components and services.Regression Testing: Confirm the stability of the software after resolving bugs.Black-Box Testing: Assess software from a user's perspective to validate its functionality.API Testing: Validate the reliability and functionality of APIs.Security Testing: Scrutinize the software's security features to identify and rectify vulnerabilities.Performance Testing: Evaluate system performance and scalability to ensure optimal functionality.Testing Processes: Innovatively develop and apply testing processes for new and existing products adapting to evolving client needs and the ever-changing industry standards.Collaboration: Forge seamless collaboration with internal teams including developers and product managers to identify and validate system requirements.Quality Metrics: Rigorously monitor and track quality assurance metrics such as defect densities and open defect counts to drive continuous improvements in software quality.,,,,,,,,,
Senior Backend Developer (PHP),Cairo,Easy Cash,Full Time,Posted 7 hours ago,4 to 6 years,Experienced (Non-Manager),Not Specified,Confidential,Key Responsibilities:Backend Development:Implement server-side logic databases and applications.Ensure the development team follows best practices in coding and architecture.Project Management:Manage and prioritize the team's workload ensuring timely project delivery.Collaborate with other teams including frontend development to ensure seamless integration of server-side and client-side components.Quality Assurance:Implement quality assurance processes to maintain the high quality and reliability of server-side components.Perform code reviews and ensure adherence to coding standards.Scalability and Performance:Optimize server-side components developed in PHP for performance and scalability addressing any bottlenecks or issues.Proactively identify and resolve technical challenges to maintain optimal system performance.Security:Implement and enforce security best practices in server-side development to protect against potential vulnerabilities.Ensure data protection and compliance with security standards.Technical Expertise:Stay current with industry trends and emerging technologies in PHP to make informed decisions and recommendations.,,,,,,,,,
DevOps Engineer,Cairo,Easy Cash,Full Time,Posted 7 hours ago,3 to 7 years,Experienced (Non-Manager),Not Specified,Confidential,Qualifications:Bachelor's degree in Computer Science Information Technology or related field.Proven experience as a DevOps Engineer preferably in the fintech industry.Strong knowledge of on-premises colocation infrastructure management.Proficiency in automation and scripting using tools like Ansible Terraform or Puppet.Experience with CI/CD tools (e.g. Jenkins Bitbucket Pipelines GitLab Runner).Familiarity with containerization and orchestration technologies (e.g. Docker Kubernetes).Experience with Openshift setup and deployment is a plusExperience with ELK for logging and monitoring.Hands-on experience with Queuing systems e.g. Kafka RabbitMQ.Familiarity with issue tracking using JIRA.Strong understanding of security practices and compliance standards.Working knowledge with NIST Container Security practices is a plus.Excellent problem-solving and communication skills.Preferred Qualifications:Relevant certifications such as AWS Certified DevOps Engineer Microsoft Certified: Azure DevOps Engineer Expert or Certified Kubernetes Administrator (CKA).,,,,,,,,,
Senior Full Stack Developer Angular and Java,Cairo,TRIMETIS,Full Time,Posted 7 hours ago,7 to 10 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Trimetis AG is seeking a new Senior Full Stack Developer to Join our TeamExperience Needed: 8 to 10 years plus.we are more interested that the full-stack profile has stronger frontend (Angular) skills than backend skills (Java).Degree in Computer Science or a relevant fieldVery Good command of English.,,,,,,,,,
Senior Quality Control Engineer,Cairo,Tafeel,Full Time,Posted 8 hours ago,5 to 10 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,We are looking for a Senior Software Quality to assess software quality through manual and automated testing.You will be responsible for finding and reporting bugs to ensure the software changes by technical team is working fine.In this role you will ensure that our products and applications work correctly in terms of technical and business scenario.Receive use cases and create test cases and how everything will be tested and identify the items to be tested.Receive requirements and create a test plan for these requirements.Contact with implementation and development teams to identify issues causing errors.Monitor track and regularly report test status and bug statistics to the team leader.Execute integration test cases to guarantee smooth integrationMake sure that the process is followed through the testing life cycle  and raise flags for any missing flow in the processInspire a positive work environment and help champion quality innovation teamwork and service to the businessWriting and Executing test scriptsParticipate in Estimation and planning sessionsRunning manual and automated testsTesting in different environments including web and mobileWriting bug reportsPerformance testingFunctional testing,,,,,,,,,
IT Account Manager,Cairo,Latalia,Work From Home,Posted 8 hours ago,2 to 3 years,Manager,Not Specified,Confidential,Setting an initial plan of action of the required outcomes Setting the companies entire technical infrastructureManage information technology and computer systemsPlan organize control and evaluate IT and electronic data operationsManage IT staff by recruiting training and coaching employees communicating job expectations and appraising their performanceDesign develop implement and coordinate systems policies and proceduresEnsure security of data network access and backup systemsAct in alignment with user needs and system functionality to contribute to organizational policyIdentify problematic areas and implement strategic solutions in timeWebsite creation & management Audit systems and assess their outcomesPreserve assets information security and control structuresHandle annual budget and ensure cost effectivenessAble to work remotely,,,,,,,,,
Sr. Backend Software Engineer,Cairo,FlapKap,Full Time,Posted 8 hours ago,4 to 8 years,Experienced (Non-Manager),Not Specified,Confidential,What is FlapKap?We are the financial growth partner for the digitally-native businesses in the Middle East and Africa. We support online businesses to overcome their cash constraints by financing their working capital and we ensure their growth without losing equity. We also give them insights on their media spend to maximize their revenues and profits.Why FlapKap?FlapKap is fast smart collaborative and first a kind startup that aims to disrupt the financial industry in MEA FlapKap is backed by QED A15 Outliers and Nclude with a total financing of $3.6m USD. FlapKap is a safe environment with a welcoming atmosphere to creativity and innovation FlapKap is dynamic and progressive. Everyday there are new challenges and significant achievements that make everyone charged excited and proud to belong.What is this role?We have open positions for Senior Backend Engineer to join us in our exciting new journey. We are building a web as well as a mobile app to serve our customers at rest and on the go. For Backend; we are proud to be one of the first (if the not the first) using Kotlin/Spring/AWS to build a modern stack that includes CI/CD Infrastructure as Code and more state of the art software development techniques. What will you do?Design develop and test new features and maintain old onesOptimize our codebase for quality and scalabilityEnhance our practice in continuous integration test automation and other state of the art practicesCollaborate with other team members and stakeholdersMentor junior members of the team to grow our skill base,,,,,,,,,
Senior Software Sales Representative,Cairo,MakanE Company,Full Time,Posted 8 hours ago,4 to 5 years,Experienced (Non-Manager),Not Specified,Confidential,About the job: We are expanding our team at MakanE and we are looking to hire a talented Sales Representative- Ecommerce. The ideal candidate will be Client experience-oriented with high communication skills and an efficient set of skills in problem-solving. The job responsibilities and qualifications for the vacancy are as follows: Job DescriptionIdentify potential clients and prospects through research and networkingDevelop and execute sales strategies to meet or exceed sales targetsBuild and maintain relationships with customersUnderstand customer needs and recommend appropriate software solutionsConduct product demonstrations and presentations to potential clientsNegotiate and close deals with customersMaintain accurate and up-to-date sales records and reportsCollaborate with other sales team members to achieve team goals,,,,,,,,,
Communications Field Engineer,Cairo,JRM for Communications,Full Time,Posted 9 hours ago,0 to 1 year,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Conduct research and studies on siteParticipate in field activities and implement engineering designsDiagnose construction or machinery problemsResolve malfunctions or other crises when they ariseOversee repairs and technical improvementsInstall new systems and technologyInspect and test material and machinery for safetyEnsure proper maintenance of onsite equipmentSupervise and direct onsite crew (e.g. technicians)Draft and submit reports,,,,,,,,,
Odoo Developer,Cairo,JRM for Communications,Full Time,Posted 9 hours ago,1 to 3 years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,Design and build advanced applicationsCollaborate with cross-functional teams to define design and ship new featuresWork with outside data sources and APIsUnit-test code for robustness including edge cases usability and general reliabilityWork on bug fixing and improving application performanceContinuously discover evaluate and implement new technologies to maximize development efficiency,,,,,,,,,
Senior UI/UX Designer,Cairo,Tafeel,Full Time,Posted 9 hours ago,5 to 8 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,We are looking for a talented UI/UX Designer to create amazing user experiences. The ideal candidate should have an eye for clean and artful design possess superior UI skills and be able to translate high-level requirements into interaction flows and artifacts and transform them into beautiful intuitive and functional user interfaces.Collaborate with product management and engineering to define and implement innovative solutions for the product direction visuals and experience.Execute all visual design stages from concept to final hand-off to engineering.Conceptualize original ideas that bring simplicity and user friendliness to complex design roadblocks.Create wireframes storyboards user flows process flows and site maps to effectively communicate interaction and design ideas.Present and defend designs and key milestone deliverables to peers and executive level stakeholders.Conduct user research and evaluate user feedback.Establish and promote design guidelines best practices and standards.,,,,,,,,,
Technical Support Engineer-Freelancer,Cairo,Wicresoft,Freelance / Project,Posted 15 hours ago,2 to 10 years,Experienced (Non-Manager),Not Specified,3000 to 13000 EGP Per Month paid by case volume,Job Summary:Get ready to revolutionize customer support! We are thrilled to announce our project: the Microsoft Forum Program. You need to deliver support and elevate the user experience on the Microsoft Forum platform.Our objective is clear: to provide personalized and efficient assistance to our valued Microsoft product users. Please ensure prompt and accurate resolutions to their queries and issues.Responsibility: Work on Microsoft Answers Forum to reply on M365 related threads:Monitor and respond to user inquiries promptly.Troubleshoot and resolve user-reported issues.Provide expert advice and recommendations.Share knowledge and contribute to discussions.Stay updated with Microsoft products and technologies.Adhere to guidelines policies and maintain professionalism.What you can Gain:But it doesn't stop there. Our vision extends beyond efficient support. We want to foster a vibrant and engaged community on the Microsoft Forum. By facilitating collaboration between our support team and users we create an environment where knowledge is freely shared empowering users to help one another. Together we will build a supportive and active community where every user feels valued and connected. At the same time you can gain the following when doing this job: Fair compensation for your contributions.Opportunities for professional development and skill enhancement.Valuable experience to add to portfolio.Recognition and visibility among users and organization.Access to continuous learning resources.Personal and professional growth opportunities.,,,,,,,,,
Senior Software Sales Representative,Cairo,BSmart,Full Time,Posted 21 hours ago,2 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential Incremental commissions from the first pound with no upper limit,A senior software sales representative is needed for a software startup BSmart which specializes in SaaS HR/HCM systems.At BSmart we have a good profile in serving mid and large organizations in Egypt and Saudi Arabia and we want to expand our market share in these segments and this is where we expect the ideal candidate to help.BSmart generates leads mainly through inbound marketing and the ideal candidate will be responsible for qualifying the inbound leads and completing the process with them till closing the deals. Moreover the ideal candidate is expected to generate leads from outbound channels as well typically 40% of his target will be through outbound activities.The vacancy is primarily remote-based although the candidate should anticipate occasional in-office meetings. Additionally there will be more frequent meetings at the premises of potential clients.Duties and Key Responsibilities:● Leads qualification from inbound channels.● Leads generation from outbound channels.● Negotiate with customers to complete the sales process.● Follow-up with customers via direct contact phone or email till closing the deals.● Attracting new customers through old customers and looking for new sales opportunities.● Deal and follow up with partners aimed to generate new leads and maintain our relationship.● Attending periodic meetings and sharing opinions aimed at improving performance and developing work.● Provide weekly and monthly reports to the supervisor/sales team leader.● Following up on new business opportunities and setting up meetings.● Develop and execute sales plans and work to meet monthly and annual targets.● Negotiate contract terms and conditions to meet both client and company objectives.● The candidate might be promoted to team lead if he proves to be a high achiever with good discipline.● The candidate will be trained on BSmart's Software to be able to demonstrate the system to the customers,,,,,,,,,
Junior IT Specialist,Giza,Jessour Misr,Full Time,Posted 1 day ago,1 to 2 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential Medical Insurance  Social Insurance  Transportation Bonus  On Performance,Junior IT SpecialistOffer expertise in software development and engineering.Write and test software as per specifications and designs.Review and learn complex system requirements. Develop software tools and subsystems to support software reuse and development.Offer software process management and control through coding portion of software development process. - Offer quality software for release to production by writing and implementing test scripts.Manage test databases and ensure integrity and currency.Disseminate test data from control database to staff to meet adequate unit testing. Apply analytical and problem solving skills to verify product through testing. Record and document actual results as per expected results. Manage well organized test results record and generate historical analysis. Review and adhere to quality system documentation and company policies.Determine develop and review approval of required quality system documentation. Support configuration management tasks on projects. Offer performance and capacity planning support of hardware and operating systems.,,,,,,,,,
Senior Full Stack Developer,Cairo,Horizon Agency,Full Time,Posted 1 day ago,More than 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Bachelor's degree in Computer Science Information Technology or a related field (or equivalent experience).+7 years of experience as a Full Stack DeveloperProficiency in front-end technologies such as HTML CSS and JavaScript and experience with popular frameworks (e.g. React Angular Vue). Strong back-end development skills using languages like Node.js or PHP.Experience with WordPress development including theme and plugin development.Database experience with SQL and NoSQL databases (e.g. MySQL MongoDB PostgreSQL).Experience with version control systems (e.g. Git) and DevOps practices.Knowledge of RESTful API design and integration.Understanding of web security best practices.Excellent problem-solving skills and attention to detail.Effective communication and teamwork skills.Portfolio of relevant projects and code samples.,,,,,,,,,
WordPress Developer,Cairo,Horizon Agency,Full Time,Posted 1 day ago,More than 2 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Managing the complete software development process from conception to deployment.Maintaining and upgrading the software following deployment.Managing the end-to-end life cycle for the production of software and applicationsOverseeing and guiding the analyzing writing building and deployment of software.Overseeing the automated testing and providing feedback to management during the development process.Modifying and testing changes to previously developed programs.,,,,,,,,,
.Net Development Manager,Cairo,LINK Development,Full Time,Posted 1 day ago,7 to 10 years,Manager,Bachelor's Degree,Confidential,As an experienced Development Manager you will play a critical role in Link Development continued success leading dynamic projects and empowering your team to create groundbreaking solutions. ResponsibilitiesLeading large technical teams making sure they follow best practicesTransforming customer requirements into a technical solutionCollaborating with project managers to deliver running projects and contribute with pre-sales team to size the effort for new opportunities and assist in conducting budgeting and creating timelinesMentoring and coaching team leaders and senior developers to help them growCoding code reviewing troubleshooting documentation are part of the responsibilities as well,,,,,,,,,
IT Help Desk Engineer,Giza,Fawry for Banking Technology and Electronics Payments S.A.E,Full Time,Posted 1 day ago,1 to 3 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,Confidential,Serve as the first point of contact for end-users seeking technical support over the phone or email.Perform remote troubleshooting through diagnostic techniques and pertinent questions.Manage PC setup and deployment for new employees.Provide investigation diagnosis resolution and recovery for hardware/software problems as applicableProvide basic network troubleshooting.Manage service requests software installation new computer setup upgrade etc.Basic hardware replacement using the available items.Maintaining the inventory by checking and update the inventory with all computer and user details.,,,,,,,,,
Quality Control Engineer,Giza,Perfect Presentation,Full Time,Posted 1 day ago,3 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Confidential,Review Requirements and Design Documents to ensure that the requirements stated is correct unambiguous and verifiable.Create test plans design and implement tests debug and define corrective actionsCreate detailed comprehensive and well-structured test casesDesign and develop detailed comprehensive and well-structured test cases for software product and websites to verify product functionality according to user’s requirements.Write a clear and concise bug reports and scenarios to ensure clear communication with the software developer.Review report and document test resultsTest web services and APIs.Test mobile Application.Track Bugs in the system and generate reports to management. Collaborate closely with other team members.Design develop and execute automation scripts using open source toolsFollow up with junior team members and report status to the team leader or the delegateReport overall project status and generate statisticsParticipate in enhancing the ProcessStay up-to-date with new testing tools and test strategies,,,,,,,,,
Electrical Engineer,Dakahlia,AGA,Full Time,Posted 1 day ago,3 to 5 years,Experienced (Non-Manager),Not Specified,Confidential,Electrical Engineer● Design control and implement electrical systems and products● Develop manufacturing processes according to global engineering codes and standards● Manage engineering projects and deliver them on time● Define customer needs and requirements● Ensure that installations and applications are in line with customer needs and safety standards● Collaborate with engineers and technicians to design and apply new system processes● Perform quality and performance analysis on new and legacy IT systems● Summarize data and report on test results● Examine needs on new equipment calculate costs and help prepare budgets● Monitor maintenance and inspection plans,,,,,,,,,
