Company Name,Sector
9H Capital,Marketing and Advertising
Alouf Travel,Transportation
Alouf Travel,Travel and Tourism
InnovaDigits,Computer Software
InnovaDigits,Consulting Services
Rawaj-HCM,Human Resources
Rawaj-HCM,Training and Coaching
Rawaj-HCM,Recruitment and Staffing
DIRAC SYSTEMS,Information Technology Services
Ahmed El-Sallab,Retail
shaheen communication data systems,Travel and Tourism
Global Brands,Computer Hardware
Global Brands,Computer Networking
Global Brands,Information Technology Services
Enwan Developments,Real Estate/Property Management
Dafa,Marketing and Advertising
Dafa,Computer Software
Dafa,Information Technology Services
Mazar construction,Construction - Residential & Commercial/Office
Viavi Solutions,Information Technology Services
TRIMETIS,Information Technology Services
Pure Group,Business Services - Other
EELU,Higher Education
EELU,Education
EELU,Training and Coaching
Logistica,Logistics and Supply Chain
Logistica,Warehousing
Estafsar,Information Technology Services
Estafsar,Insurance
Xceed Contact Center,Retail
Xceed Contact Center,Telecommunications
Etisalat Egypt,Telecommunications
United Group For Engineering And Investment,Construction - Residential & Commercial/Office
United Group For Engineering And Investment,Engineering Services
United Group For Engineering And Investment,Environmental Services
Ultimate Academy,Computer Software
ثقة الانجاز,Computer Software
ثقة الانجاز,Legal Services
El-Sewedy Electrometer,Manufacturing
Softec Technologies,Computer Software
Softec Technologies,Information Technology Services
qTech.,Computer Software
AGG information technology,Information Technology Services
Art Link,Computer Networking
Art Link,Publishing and Printing
El Sewedy Education - The Knowledge Hub Universities,Education
El Alsson British & American International School,Education
Premium Card,Financial Services
Infotech,Business Services - Other
Infotech,Market Research
Infotech,Research
Roaya,Information Technology Services
Lychee Fruit Bar,Food and Beverage Production
Mazaya,Apparel and Fashion
Mazaya,Retail
GS - GEO Solutions,Information Technology Services
TTC Technologies,Computer Software
TTC Technologies,Manufacturing
TTC Technologies,Research
Injaz Tech for advanced systems,Computer and Network Security
Injaz Tech for advanced systems,Computer Software
Injaz Tech for advanced systems,Information Technology Services
SE Wiring Systems EGYPT,Automotive
ElMotaheda Web,Information Technology Services
ElMotaheda Web,Internet/E-commerce
Egabi FSI,Information Technology Services
SMARTTEL,Security and Surveillance
SMARTTEL,Telecommunications
Rashideen Egypt for Trade,FMCG
intrazero,Computer Software
TEPCO S.A.E.,Engineering Services
TEPCO S.A.E.,Manufacturing
Expleo,Computer Software
Expleo,Information Technology Services
EAST,Engineering Services
Smartverse,FMCG
Smartverse,Retail
LxT,Information Technology Services
Basata,Computer Software
Basata,Information Technology Services
Azm development,Computer Software
Azm development,Information Technology Services
OdooTec,Computer Software
OdooTec,Information Technology Services
OdooTec,Consulting Services
GLOBAL AUTO,Automotive
GLOBAL AUTO,Manufacturing
Telegeeks LLC,Telecommunications
Midea Group,Electronics and Semiconductors
AFFSQUARE,Marketing and Advertising
SURE International Technology,Information Technology Services
Egast,Agriculture/Fishing/Farming
Aliaict,Information Technology Services
Arabian Advanced Systems,Computer Software
Arabian Advanced Systems,Information Technology Services
Network International -Egypt,Information Technology Services
Network International -Egypt,Financial Services
Network International -Egypt,Internet/E-commerce
Samaya Electronics Egypt LTD,Automotive
EEC Group,Construction - Industrial Facilities and Infrastructure
Kian Alraqmih,Information Technology Services
acwme,Internet/E-commerce
eBSEG,Computer Software
eBSEG,Information Technology Services
Kasrawy Group,Automotive
Measuresoft oil and gas Services,Oil and Gas
Global Academic Foundation Hosting University of Hertfordshire UH,Higher Education
IT Pillars,Information Technology Services
Pillars,Human Resources
Pillars,Recruitment and Staffing
Nature's Rule Egypt LLC,Health Wellness and Fitness
Nature's Rule Egypt LLC,Sports
Statements for Consulting,Financial Services
Ultimate Solutions Egypt,Computer Software
Ultimate Solutions Egypt,Information Technology Services
Elhazek Construction,Construction - Residential & Commercial/Office
Kick Start Interactive,Computer Software
INNOVA SOFT,Computer Software
INNOVA SOFT,Engineering Services
Nerva,Computer Software
Nerva,Information Technology Services
Nerva,Management Consulting
Auto Tager,Automotive
Auto Tager,Consumer Services
Erada,Financial Services
WUZZUF,Computer Software
WUZZUF,Information Technology Services
WUZZUF,Human Resources
Shatta,Textile and Clothing
Intercept Technologies,Marketing and Advertising
Intercept Technologies,Internet/E-commerce
Intercept Technologies,Photography
Nour Eldin Elsherif for Trading vehicles,Automotive
Nour Eldin Elsherif for Trading vehicles,Retail
Tokio Marine Egypt General,Insurance
Mass Technology,Computer Software
Youxel,Information Technology Services
365 Ecology,Construction - Industrial Facilities and Infrastructure
365 Ecology,Construction - Residential & Commercial/Office
365 Ecology,Engineering Services
Amasi,Information Technology Services
2CooM,Management Consulting
Bypa-ss,Information Technology Services
Bypa-ss,Healthcare and Medical Services
Cilantro,Food and Beverage Production
Cilantro,Food Services/Restaurants/Catering
(MSA) October University,Education
Gamers Lounge,Marketing and Advertising
Gamers Lounge,Computer Games
Gamers Lounge,Entertainment
Deal,Computer Software
Deal,Internet/E-commerce
Deal,Real Estate/Property Management
SevenCodeApps,Marketing and Advertising
SevenCodeApps,Computer Software
SevenCodeApps,Information Technology Services
Ali Alkhajeh Development,Real Estate/Property Management
CARITech,Banking
CARITech,Computer Software
CARITech,Information Technology Services
Smart Glass Company,Manufacturing
BBI-Consultancy,Computer Software
BBI-Consultancy,Information Technology Services
IKEN Technology,Information Technology Services
Ofoq Consulting,Computer Software
Ofoq Consulting,Information Technology Services
Ofoq Consulting,Consulting Services
Kiromarble for marble and granite,Manufacturing
Golden Gates,Venture Capital and Private Equity
Golden Gates,Consulting Services
YELO,Automotive
Klik,Information Technology Services
scandiweb,Computer Software
scandiweb,Information Technology Services
scandiweb,Internet/E-commerce
sios,Healthcare and Medical Services
Yassien & Partners Law Firm,Law Enforcement
Yassien & Partners Law Firm,Legal Services
Deutschland Technology Limited,Construction - Industrial Facilities and Infrastructure
Spatium Software,Computer Software
Spatium Software,Information Technology Services
Safa International Travel,Travel and Tourism
Alkarma Developments,Construction - Residential & Commercial/Office
Alkarma Developments,Real Estate/Property Management
MCV,Manufacturing
Eg Insurtech,Computer Software
Furqan Group for Education & IT,Information Technology Services
Furqan Group for Education & IT,Education
Furqan Group for Education & IT,E-Learning
Crevisoft Corporation,Computer Software
Crevisoft Corporation,Information Technology Services
Crevisoft Corporation,Internet/E-commerce
Sulfah,Financial Services
Sulfah,Internet/E-commerce
Egypt Bakery Stores,Food and Beverage Production
Target Integrated Systems,Information Technology Services
Enegix,Business Services - Other
Enegix,Information Technology Services
Alstom,Transportation
RUSHBRUSH INC,Consumer Electronics
RUSHBRUSH INC,Internet/E-commerce
Procoor,Computer Software
Procoor,Electronics and Semiconductors
Procoor,Engineering Services
NCR,Financial Services
Promech Engineering,Engineering Services
Forasna,Business Services - Other
Forasna,Human Resources
Nile Projects & Trading,Apparel and Fashion
Nile Projects & Trading,Automotive
InitRes,Information Technology Services
GEMS Education,Education
Seoudi Supermarket,Retail
Ethos International School,Education
Glamera,Information Technology Services
Glamera,Health Wellness and Fitness
Glamera,Personal Care and Services
etisal for advanced industries,Manufacturing
iNetwork Solutions,Computer and Network Security
iNetwork Solutions,Computer Networking
iNetwork Solutions,Information Technology Services
alfanar,Construction - Industrial Facilities and Infrastructure
alfanar,Energy and Utilities
alfanar,Management Consulting
Town Team,Apparel and Fashion
Town Team,Retail
Signature Technology DMCC,Internet/E-commerce
Tartoussieh Engineering & Trading Co,Engineering Services
Mercury Visual Solutions,Media Production
The Micro Small & Medium Enterprise Development Agency,Business Services - Other
The Micro Small & Medium Enterprise Development Agency,Financial Services
The Micro Small & Medium Enterprise Development Agency,Non-Profit Organizations
TechAdemics,Engineering Services
TechAdemics,Education
Upwyde,Real Estate/Property Management
Premier Services and Recruitment Overseas,Recruitment and Staffing
Queen Tech Solutions,Computer Software
Queen Tech Solutions,Information Technology Services
Mazloum Real Estate,Real Estate/Property Management
Advanced Solutions,Information Technology Services
engineering tracks,Education
engineering tracks,Training and Coaching
PSH,Computer Software
PSH,Consulting Services
Techno Management,Information Technology Services
El Khamis Hydraulic Company,Import and Export
Delivery-tech,Marketing and Advertising
Delivery-tech,Information Technology Services
Orient,Chemicals
Vzadi.com,Computer and Network Security
Bright Vision,Computer Games
Bright Vision,Computer Software
El Teriak Industrial Group,Agriculture/Fishing/Farming
El Teriak Industrial Group,Automotive
El Teriak Industrial Group,Manufacturing
Khodar.com,Internet/E-commerce
Khodar.com,Retail
Zamil Steel Buildings Co,Construction - Industrial Facilities and Infrastructure
Zamil Steel Buildings Co,Mining and Metals
Spark Systems,Computer Software
Spark Systems,Information Technology Services
Spark Systems,Internet/E-commerce
LoadServ,Computer Software
Zawaya,Business Supplies and Equipment
Zawaya,Engineering Services
Afaqy,Automotive
Afaqy,Computer Software
Afaqy,Information Technology Services
Sequel Solutions,Outsourcing/Offshoring
2oolAmeme,Computer Games
2oolAmeme,Entertainment
2oolAmeme,Internet/E-commerce
Mc Ledger,Accounting and Auditing Services
Mc Ledger,Information Technology Services
Sierra Engineering & Manufacturing,Manufacturing
Ibn Sina Pharma,Logistics and Supply Chain
Ibn Sina Pharma,Pharmaceuticals
Dubai Egypt Sweden,Real Estate/Property Management
TA telecom,Information Technology Services
TA telecom,Telecommunications
Al Ahly Medical Company,Healthcare and Medical Services
Al Ahly Medical Company,Insurance
Air Arabia,Airlines/Aviation
TensorGraph,Computer Software
Mantrac,Construction - Industrial Facilities and Infrastructure
Mantrac,Retail
Al Amin Technological Systems,Banking
Al Amin Technological Systems,Investment Banking
Options,Outsourcing/Offshoring
Softxpert Incorporation,Information Technology Services
INTERPAC,Paper and Forest Products
Kashier Payment Solutions,Information Technology Services
Kashier Payment Solutions,Financial Services
e Aswaaq Misr,Internet/E-commerce
Smartly,Information Technology Services
Mimocodes,Computer Software
Mimocodes,Information Technology Services
Mimocodes,Graphic Design
PICO,Agriculture/Fishing/Farming
Arabian Systems,Computer Software
Do Localize Ltd.,Translation and Localization
A1Softech,Computer Software
A1Softech,Information Technology Services
CompactSoft International,Computer Software
CompactSoft International,Information Technology Services
Health Insights Group,Health Wellness and Fitness
New Plan,Real Estate/Property Management
British University of Egypt,Education
Alexandria For Programming,Computer Software
Alexandria For Programming,Information Technology Services
Roya Developments,Real Estate/Property Management
Shifa Egypt,Healthcare and Medical Services
Silicon21,Computer Networking
Silicon21,Information Technology Services
Masria Digital Payment (MDP),Banking
Masria Digital Payment (MDP),Information Technology Services
Masria Digital Payment (MDP),Manufacturing
Edu-Zone,Education
Puzzle,Marketing and Advertising
Puzzle,Business Services - Other
Puzzle,Information Technology Services
Guestna,Travel and Tourism
Aman,Retail
Kellogg Tolaram Noodles Egypt LLC,FMCG
Johnson Controls,Engineering Services
Khales,Financial Services
Marketopia,Marketing and Advertising
Marketopia,Media Production
Naia Developments,Real Estate/Property Management
INDEVCO,Manufacturing
EDRAK Software,Computer Software
Transmar International,Other - Not Classified
Interactive Limited/Carma Group,Other - Not Classified
SHAWAHID ROADS INDUSTRIAL COMPANY,Construction - Industrial Facilities and Infrastructure
Sprints.ai,Automotive
Sprints.ai,Computer Software
Sprints.ai,Education
Melco-Mec Egypt for Elevators & Escalators - Mitsubishi,Engineering Services
Shotmed,Construction - Industrial Facilities and Infrastructure
EFS,Marine Manufacturing & Services
EFS,Recreational Facilities and Services
Izam inc.,Computer Software
Objects,Information Technology Services
Royal Investment,Other - Not Classified
COREations,Marketing and Advertising
COREations,Information Technology Services
EpsilonAI,Computer Software
EpsilonAI,Training and Coaching
Universities of Canada in Egypt,Higher Education
El Mohandess Print House,Manufacturing
El Mohandess Print House,Publishing and Printing
Impactyn,Information Technology Services
Fintech solutions,Business Services - Other
Fintech solutions,Information Technology Services
Fintech solutions,Financial Services
Elkenany Group,Marketing and Advertising
Elkenany Group,Agriculture/Fishing/Farming
Elkenany Group,Veterinary
FRIDAL,Chemicals
FRIDAL,FMCG
Arlation Media Services,Broadcasting and Film
Arlation Media Services,Media Production
Arlation Media Services,Translation and Localization
TIC,Construction - Industrial Facilities and Infrastructure
Rednet It Services,Computer Software
Rednet It Services,Information Technology Services
Moltaqa,Marketing and Advertising
Moltaqa,Computer Software
Moltaqa,Information Technology Services
Konnekt Union,Information Technology Services
Jaffangroup,FMCG
Jaffangroup,Food and Beverage Production
altameerarabian,Real Estate/Property Management
Integrated Technology Group,Computer Software
iSON Xperiences Egypt,Outsourcing/Offshoring
Order King,Other - Not Classified
Finding From Egy,Marketing and Advertising
Finding From Egy,Agriculture/Fishing/Farming
Finding From Egy,Food and Beverage Production
TMA For Industrial Supplies,Engineering Services
Ether Technology,Information Technology Services
Egyptian Integration,Computer Software
appcorp,Information Technology Services
appcorp,Telecommunications
Parkville Pharmaceuticals,Pharmaceuticals
Dolf,Information Technology Services
Lecon,Architectural and Design Services
Lecon,Engineering Services
RTR Software Solutions,Computer Software
RTR Software Solutions,Information Technology Services
Sky Distribution,Consumer Services
Sky Distribution,Logistics and Supply Chain
Sky Distribution,Retail
InstaShop,Internet/E-commerce
Elfostat Company for import and export,Import and Export
شركه طنطا موتورز,Engineering Services
شركه طنطا موتورز,Manufacturing
شركه طنطا موتورز,Wholesale Trade
Max Muscle,Health Wellness and Fitness
Max Muscle,Healthcare and Medical Services
Max Muscle,Retail
Majorel Egypt,Outsourcing/Offshoring
Fawry Microfinance,Accounting and Auditing Services
cCc callcenter and Digital Marketing,Marketing and Advertising
cCc callcenter and Digital Marketing,Outsourcing/Offshoring
Solutions,Marketing and Advertising
Intelcia,Telecommunications
Ascon Advanced Solutions & Consultant,Computer Software
Ascon Advanced Solutions & Consultant,Information Technology Services
The Portal,Marketing and Advertising
The Portal,Computer Software
The Portal,Internet/E-commerce
شيلتر تكنولوجي,Computer Software
شيلتر تكنولوجي,Information Technology Services
Sinmar Soft,Computer Software
Peerless,Marketing and Advertising
Peerless,Computer Software
Peerless,Information Technology Services
Quick Services,Computer Software
Quick Services,Information Technology Services
Post Distribution Company,Logistics and Supply Chain
Post Distribution Company,Recruitment and Staffing
Alumil,Construction - Industrial Facilities and Infrastructure
Balanced Education Company,Education
Balanced Education Company,Training and Coaching
Delta American School,Education
Shahbandr,Marketing and Advertising
Shahbandr,Computer Software
Shahbandr,Retail
Sweet Memory travel,Travel and Tourism
Loc-Camp,Translation and Localization
BRISK Business Inc.,Management Consulting
BRISK Business Inc.,Training and Coaching
ORGANI GROUP,Construction - Residential & Commercial/Office
ORGANI GROUP,Import and Export
ORGANI GROUP,Real Estate/Property Management
Mohandes Life Insurance,Insurance
Seena - سينا,Financial Services
Rubyred Garment,Manufacturing
ZINAD IT,Information Technology Services
Crowe Egypt - Dr Khaled Abdelaziz Hegazy,Accounting and Auditing Services
Crowe Egypt - Dr Khaled Abdelaziz Hegazy,Financial Services
Crowe Egypt - Dr Khaled Abdelaziz Hegazy,Consulting Services
Shebak,Information Technology Services
Windrose Academy,Education
British Council,Higher Education
British Council,Education
British Council,Training and Coaching
Multi Level Group (MLG),Information Technology Services
EVA Cosmetics,Cosmetics
Al Rabat,Construction - Industrial Facilities and Infrastructure
Al Rabat,Construction - Residential & Commercial/Office
Al Rabat,Real Estate/Property Management
Interact Technology Solutions,Computer and Network Security
Interact Technology Solutions,Computer Software
Interact Technology Solutions,Information Technology Services
DAK Steel - Construction,Construction - Industrial Facilities and Infrastructure
Al Soug-Cashi,Computer Software
Egypt Kuwait Holding,Investment Banking
taknia systems,Computer Software
Orange Studio,Computer Software
Waseet.net,Marketing and Advertising
Waseet.net,Computer Software
Waseet.net,Retail
Target Recruitment  & HR Solutions,Human Resources
Synergy Markets,Financial Services
Micro Engineering,Computer Software
Micro Engineering,Energy and Utilities
Micro Engineering,Engineering Services
Horizon,Recruitment and Staffing
Indegree,Marketing and Advertising
Indegree,Computer Software
Indegree,Information Technology Services
Hands of Hope Physical Therapy & Wellness,Healthcare and Medical Services
Ulemt,Marketing and Advertising
Ulemt,Banking
Ulemt,Financial Services
Data Science,Information Technology Services
Elabd Foods,FMCG
Elabd Foods,Food and Beverage Production
AL MASHARIQ,Construction - Residential & Commercial/Office
AL MASHARIQ,Energy and Utilities
Elite Education Group,Education
Thaka International,Information Technology Services
Talaat Moustafa Group,Real Estate/Property Management
Talaat Moustafa Group,Retail
Bluebell Pharmaceuticals,Cosmetics
Bluebell Pharmaceuticals,Pharmaceuticals
Grifols Egypt for Plasma Derivatives,Healthcare and Medical Services
Grifols Egypt for Plasma Derivatives,Pharmaceuticals
StudentGator,Information Technology Services
StudentGator,Education
Coral Technology,Computer Software
GPS,Publishing and Printing
INTERNET SOLUTIONS,Internet/E-commerce
